s1_t;s1_v;s1_data;s2_t;s2_v;s2_data;s3_t;s3_v;s3_data;s4_t;s4_v;s4_data;DT_RowId;id;unique_id;monster;originID;monster_n;originName;ancient;efficiency;set;slot;grade;level;m_t;m_v;i_t;i_v;locked;sub_res;sub_cdmg;sub_atkf;sub_acc;sub_atkp;sub_defp;sub_deff;sub_hpp;sub_hpf;sub_spd;sub_crate;quality;max_efficiency
"CRate";11;{"enchanted":false,"gvalue":0};"SPD";11;{"enchanted":false,"gvalue":0};"";0;{};"";0;{};"row_584";584;43076315918;38;0;"Jamire";"Inventory";false;61.9;"Violent";6;6;6;"DEF%";29;"";0;1;"-";"-";"-";"-";"-";"-";"-";"-";"-";11;11;"Rare";76.19
"ATK flat";51;{"enchanted":false,"gvalue":0};"SPD";12;{"enchanted":false,"gvalue":0};"RES";4;{"enchanted":false,"gvalue":0};"";0;{};"row_585";585;43153047548;0;0;"Inventory";"Inventory";false;62.68;"Violent";6;6;9;"ATK%";38;"";0;0;4;"-";51;"-";"-";"-";"-";"-";"-";12;"-";"Hero";69.82
"DEF%";8;{"enchanted":false,"gvalue":0};"DEF flat";43;{"enchanted":false,"gvalue":0};"ATK flat";24;{"enchanted":false,"gvalue":0};"";0;{};"row_586";586;43237838536;0;0;"Inventory";"Inventory";false;61.96;"Violent";6;6;9;"ATK%";38;"CRate";6;0;"-";"-";24;"-";"-";8;43;"-";"-";"-";"-";"Hero";69.11
"DEF flat";28;{"enchanted":false,"gvalue":0};"ATK flat";12;{"enchanted":false,"gvalue":0};"SPD";15;{"enchanted":false,"gvalue":0};"ACC";5;{"enchanted":false,"gvalue":0};"row_587";587;41386152952;30;0;"Feng Yan";"Inventory";false;65.18;"Violent";6;6;15;"DEF%";63;"";0;1;"-";"-";12;5;"-";"-";28;"-";"-";15;"-";"Hero";65.18
"RES";4;{"enchanted":false,"gvalue":0};"SPD";10;{"enchanted":false,"gvalue":0};"CRate";15;{"enchanted":false,"gvalue":0};"ATK%";7;{"enchanted":false,"gvalue":0};"row_588";588;38903937435;0;0;"Inventory";"Inventory";false;75.3;"Violent";6;6;15;"DEF%";63;"";0;0;4;"-";"-";"-";7;"-";"-";"-";"-";10;15;"Hero";75.3
"HP flat";348;{"enchanted":false,"gvalue":0};"HP%";6;{"enchanted":false,"gvalue":0};"ACC";27;{"enchanted":false,"gvalue":0};"SPD";10;{"enchanted":true,"gvalue":0};"row_589";589;5691344932;111;0;"Raoq";"Inventory";false;80.4;"Violent";6;6;15;"ATK%";63;"";0;0;"-";"-";"-";27;"-";"-";"-";6;348;10;"-";"Legend";80.4
"SPD";4;{"enchanted":true,"gvalue":0};"HP%";19;{"enchanted":false,"gvalue":0};"CDmg";6;{"enchanted":false,"gvalue":0};"ATK%";6;{"enchanted":false,"gvalue":0};"row_590";590;35557834370;0;0;"Inventory";"Inventory";false;76.06;"Violent";6;6;15;"DEF%";63;"CRate";6;0;"-";6;"-";"-";6;"-";"-";19;"-";4;"-";"Rare";76.06
"CRate";4;{"enchanted":false,"gvalue":0};"ACC";24;{"enchanted":false,"gvalue":0};"HP%";6;{"enchanted":false,"gvalue":0};"ATK flat";16;{"enchanted":false,"gvalue":0};"row_591";591;40016900407;0;0;"Inventory";"Inventory";false;77.26;"Violent";6;6;12;"ATK%";47;"CDmg";7;0;"-";"-";16;24;"-";"-";"-";6;"-";"-";4;"Rare";77.26
"SPD";6;{"enchanted":false,"gvalue":0};"CDmg";4;{"enchanted":false,"gvalue":0};"HP%";18;{"enchanted":false,"gvalue":0};"CRate";6;{"enchanted":false,"gvalue":0};"row_592";592;38076868711;0;0;"Inventory";"Inventory";false;77.3;"Violent";6;6;15;"ATK%";63;"RES";8;0;"-";4;"-";"-";"-";"-";"-";18;"-";6;6;"Rare";77.3
"RES";8;{"enchanted":false,"gvalue":0};"HP%";27;{"enchanted":false,"gvalue":0};"ATK%";7;{"enchanted":false,"gvalue":0};"ATK flat";17;{"enchanted":false,"gvalue":0};"row_593";593;38932816281;0;0;"Inventory";"Inventory";false;76.25;"Violent";6;6;13;"DEF%";50;"";0;0;8;"-";17;"-";7;"-";"-";27;"-";"-";"-";"Hero";76.25
"SPD";16;{"enchanted":false,"gvalue":0};"DEF%";5;{"enchanted":false,"gvalue":0};"DEF flat";41;{"enchanted":false,"gvalue":16};"HP flat";609;{"enchanted":true,"gvalue":217};"row_594";594;19820009571;42;0;"Amarna";"Inventory";false;72.35;"Violent";6;6;15;"HP%";63;"";0;1;"-";"-";"-";"-";"-";5;41;"-";609;16;"-";"Hero";72.35
"HP flat";517;{"enchanted":false,"gvalue":0};"SPD";5;{"enchanted":false,"gvalue":0};"RES";20;{"enchanted":false,"gvalue":0};"";0;{};"row_595";595;41481917462;150;0;"Jeanne";"Inventory";false;64.45;"Violent";6;6;9;"HP%";38;"";0;0;20;"-";"-";"-";"-";"-";"-";"-";517;5;"-";"Hero";71.59
"CDmg";24;{"enchanted":false,"gvalue":0};"ATK%";6;{"enchanted":false,"gvalue":0};"RES";6;{"enchanted":false,"gvalue":0};"";0;{};"row_596";596;41079367403;0;0;"Inventory";"Inventory";false;70.92;"Violent";6;6;10;"HP%";41;"";0;0;6;24;"-";"-";6;"-";"-";"-";"-";"-";"-";"Hero";78.06
"ACC";20;{"enchanted":false,"gvalue":0};"ATK flat";10;{"enchanted":false,"gvalue":0};"RES";14;{"enchanted":false,"gvalue":0};"SPD";11;{"enchanted":false,"gvalue":0};"row_597";597;41948981931;0;0;"Inventory";"Inventory";false;80.95;"Violent";6;6;12;"ATK%";47;"";0;0;14;"-";10;20;"-";"-";"-";"-";"-";11;"-";"Legend";80.95
"DEF%";7;{"enchanted":false,"gvalue":0};"SPD";8;{"enchanted":false,"gvalue":0};"DEF flat";47;{"enchanted":false,"gvalue":0};"";0;{};"row_598";598;42783135812;0;0;"Inventory";"Inventory";false;62.05;"Violent";6;6;9;"HP%";38;"HP flat";228;0;"-";"-";"-";"-";"-";7;47;"-";"-";8;"-";"Hero";69.2
"SPD";11;{"enchanted":false,"gvalue":0};"HP%";13;{"enchanted":false,"gvalue":0};"ATK%";7;{"enchanted":false,"gvalue":0};"ATK flat";13;{"enchanted":false,"gvalue":0};"row_599";599;40298232294;37;0;"Riley";"Inventory";false;76.13;"Violent";6;6;15;"DEF%";63;"CDmg";7;1;"-";"-";13;"-";7;"-";"-";13;"-";11;"-";"Rare";76.13
"DEF%";20;{"enchanted":false,"gvalue":0};"SPD";6;{"enchanted":false,"gvalue":0};"ACC";7;{"enchanted":false,"gvalue":0};"HP flat";152;{"enchanted":false,"gvalue":0};"row_600";600;38579444297;128;0;"Chiwu";"Inventory";false;71.98;"Violent";6;6;15;"HP%";63;"ATK flat";20;1;"-";"-";"-";7;"-";20;"-";"-";152;6;"-";"Rare";71.98
"SPD";6;{"enchanted":false,"gvalue":0};"CDmg";14;{"enchanted":false,"gvalue":0};"RES";8;{"enchanted":false,"gvalue":0};"DEF flat";11;{"enchanted":false,"gvalue":0};"row_601";601;36554404499;50;0;"Homunculus - Hypernox";"Inventory";false;73.39;"Violent";6;6;15;"HP%";63;"CRate";6;0;8;14;"-";"-";"-";"-";11;"-";"-";6;"-";"Rare";73.39
"RES";14;{"enchanted":false,"gvalue":0};"HP flat";351;{"enchanted":false,"gvalue":0};"CRate";5;{"enchanted":false,"gvalue":0};"ATK%";11;{"enchanted":false,"gvalue":0};"row_602";602;43444737769;146;0;"Diana";"Inventory";false;67.33;"Violent";6;6;9;"HP%";38;"";0;1;14;"-";"-";"-";11;"-";"-";"-";351;"-";5;"Legend";74.47
"DEF flat";26;{"enchanted":false,"gvalue":0};"ATK%";13;{"enchanted":false,"gvalue":0};"";0;{};"";0;{};"row_603";603;43444737774;0;0;"Inventory";"Inventory";false;45.16;"Violent";6;5;6;"HP%";22;"";0;0;"-";"-";"-";"-";13;"-";26;"-";"-";"-";"-";"Rare";59.45
"SPD";17;{"enchanted":false,"gvalue":0};"HP flat";195;{"enchanted":false,"gvalue":0};"";0;{};"";0;{};"row_604";604;41686545026;0;0;"Inventory";"Inventory";false;61.38;"Nemesis";1;6;6;"ATK flat";70;"ACC";4;0;"-";"-";"-";"-";"-";"-";"-";"-";195;17;"-";"Rare";75.67
"CRate";5;{"enchanted":false,"gvalue":0};"ATK%";11;{"enchanted":false,"gvalue":0};"SPD";22;{"enchanted":false,"gvalue":0};"HP flat";350;{"enchanted":false,"gvalue":0};"row_605";605;41686856740;42;0;"Amarna";"Inventory";false;81.01;"Nemesis";1;6;12;"ATK flat";118;"";0;1;"-";"-";"-";"-";11;"-";"-";"-";350;22;5;"Legend";81.01
"ACC";5;{"enchanted":false,"gvalue":0};"RES";15;{"enchanted":false,"gvalue":0};"CRate";5;{"enchanted":false,"gvalue":0};"SPD";20;{"enchanted":false,"gvalue":0};"row_606";606;36568775543;37;0;"Riley";"Inventory";false;85.45;"Nemesis";1;6;12;"ATK flat";118;"HP flat";222;1;15;"-";"-";5;"-";"-";"-";"-";"-";20;5;"Legend";85.45
"CDmg";12;{"enchanted":false,"gvalue":0};"ATK flat";20;{"enchanted":false,"gvalue":0};"CRate";10;{"enchanted":false,"gvalue":0};"ACC";5;{"enchanted":false,"gvalue":0};"row_607";607;41649536141;0;0;"Inventory";"Inventory";true;68.03;"Nemesis";2;5;12;"SPD";29;"DEF flat";15;0;"-";12;20;5;"-";"-";"-";"-";"-";"-";10;"Legend";68.03
"DEF%";13;{"enchanted":false,"gvalue":0};"HP%";15;{"enchanted":false,"gvalue":0};"DEF flat";17;{"enchanted":false,"gvalue":0};"CDmg";5;{"enchanted":false,"gvalue":0};"row_608";608;41665295734;37;0;"Riley";"Inventory";false;68.85;"Nemesis";2;6;12;"SPD";31;"";0;1;"-";5;"-";"-";"-";13;17;15;"-";"-";"-";"Rare";68.85
"RES";11;{"enchanted":false,"gvalue":0};"HP flat";270;{"enchanted":false,"gvalue":0};"";0;{};"";0;{};"row_609";609;41846882257;0;0;"Inventory";"Inventory";false;50.91;"Nemesis";2;5;6;"SPD";17;"ATK%";6;0;11;"-";"-";"-";"-";"-";"-";"-";270;"-";"-";"Rare";65.2
"HP flat";311;{"enchanted":false,"gvalue":0};"DEF flat";17;{"enchanted":false,"gvalue":0};"CRate";11;{"enchanted":false,"gvalue":0};"";0;{};"row_610";610;41938650957;0;0;"Inventory";"Inventory";true;52.26;"Nemesis";2;5;9;"SPD";23;"";0;0;"-";"-";"-";"-";"-";"-";17;"-";311;"-";11;"Hero";59.4
"ATK flat";12;{"enchanted":false,"gvalue":0};"DEF%";23;{"enchanted":false,"gvalue":0};"HP flat";138;{"enchanted":false,"gvalue":0};"";0;{};"row_611";611;43076081102;0;0;"Inventory";"Inventory";true;57.16;"Nemesis";2;5;9;"SPD";23;"";0;0;"-";"-";12;"-";"-";23;"-";"-";138;"-";"-";"Hero";64.3
"SPD";14;{"enchanted":false,"gvalue":0};"HP%";8;{"enchanted":false,"gvalue":0};"RES";10;{"enchanted":false,"gvalue":0};"";0;{};"row_612";612;43190974292;0;0;"Inventory";"Inventory";false;74.57;"Nemesis";2;6;9;"DEF%";38;"CDmg";6;0;10;"-";"-";"-";"-";"-";"-";8;"-";14;"-";"Hero";81.72
"CRate";4;{"enchanted":false,"gvalue":0};"HP flat";1041;{"enchanted":false,"gvalue":0};"";0;{};"";0;{};"row_613";613;43393587482;0;0;"Inventory";"Inventory";false;50.39;"Nemesis";2;6;6;"SPD";19;"";0;0;"-";"-";"-";"-";"-";"-";"-";"-";1041;"-";4;"Rare";64.68
"CRate";5;{"enchanted":false,"gvalue":0};"ATK%";16;{"enchanted":false,"gvalue":0};"";0;{};"";0;{};"row_614";614;43463788860;0;0;"Inventory";"Inventory";false;53.4;"Nemesis";2;5;6;"SPD";17;"";0;0;"-";"-";"-";"-";16;"-";"-";"-";"-";"-";5;"Rare";67.69
"ATK flat";13;{"enchanted":false,"gvalue":0};"ACC";5;{"enchanted":false,"gvalue":0};"";0;{};"";0;{};"row_615";615;43496292856;0;0;"Inventory";"Inventory";false;42.5;"Nemesis";2;6;0;"SPD";7;"";0;0;"-";"-";13;5;"-";"-";"-";"-";"-";"-";"-";"Rare";71.07
"SPD";17;{"enchanted":false,"gvalue":0};"HP%";5;{"enchanted":false,"gvalue":0};"";0;{};"";0;{};"row_616";616;41779014937;0;0;"Inventory";"Inventory";false;66.54;"Nemesis";3;6;6;"DEF flat";70;"CDmg";6;0;"-";"-";"-";"-";"-";"-";"-";5;"-";17;"-";"Rare";80.82
"RES";13;{"enchanted":false,"gvalue":0};"HP flat";506;{"enchanted":false,"gvalue":0};"CDmg";9;{"enchanted":false,"gvalue":0};"SPD";15;{"enchanted":false,"gvalue":0};"row_617";617;40501021336;0;0;"Inventory";"Inventory";true;82.75;"Nemesis";3;6;12;"DEF flat";118;"ACC";4;0;13;9;"-";"-";"-";"-";"-";"-";506;15;"-";"Legend";82.75
"HP%";15;{"enchanted":false,"gvalue":0};"SPD";12;{"enchanted":false,"gvalue":0};"CDmg";8;{"enchanted":false,"gvalue":0};"RES";16;{"enchanted":false,"gvalue":0};"row_618";618;41554854467;0;0;"Inventory";"Inventory";true;85.84;"Nemesis";3;6;12;"DEF flat";118;"";0;0;16;8;"-";"-";"-";"-";"-";15;"-";12;"-";"Hero";85.84
"HP flat";673;{"enchanted":false,"gvalue":0};"SPD";12;{"enchanted":false,"gvalue":0};"ACC";6;{"enchanted":false,"gvalue":0};"";0;{};"row_620";620;41623021131;0;0;"Inventory";"Inventory";true;61.77;"Nemesis";4;6;9;"CRate";34;"";0;0;"-";"-";"-";6;"-";"-";"-";"-";673;12;"-";"Hero";68.91
"DEF%";13;{"enchanted":false,"gvalue":5};"SPD";24;{"enchanted":false,"gvalue":3};"HP flat";218;{"enchanted":false,"gvalue":0};"ATK flat";17;{"enchanted":false,"gvalue":0};"row_621";621;41686694643;42;0;"Amarna";"Inventory";false;81;"Nemesis";4;6;14;"HP%";53;"";0;1;"-";"-";17;"-";"-";13;"-";"-";218;24;"-";"Hero";81
"ATK%";14;{"enchanted":false,"gvalue":0};"DEF%";18;{"enchanted":false,"gvalue":0};"SPD";6;{"enchanted":false,"gvalue":0};"CRate";16;{"enchanted":false,"gvalue":0};"row_622";622;40501021326;0;0;"Inventory";"Inventory";true;92.44;"Nemesis";4;6;15;"CDmg";80;"DEF flat";11;0;"-";"-";"-";"-";14;18;"-";"-";"-";6;16;"Legend";92.44
"SPD";7;{"enchanted":false,"gvalue":0};"ATK%";17;{"enchanted":false,"gvalue":0};"CRate";16;{"enchanted":false,"gvalue":0};"RES";13;{"enchanted":false,"gvalue":0};"row_623";623;41390598984;0;0;"Inventory";"Inventory";true;89.88;"Nemesis";4;6;12;"HP%";47;"";0;0;13;"-";"-";"-";17;"-";"-";"-";"-";7;16;"Legend";89.88
"HP flat";796;{"enchanted":false,"gvalue":0};"RES";4;{"enchanted":false,"gvalue":0};"SPD";11;{"enchanted":false,"gvalue":0};"";0;{};"row_625";625;41647412546;0;0;"Inventory";"Inventory";false;65.32;"Nemesis";6;6;9;"ATK%";38;"DEF%";6;0;4;"-";"-";"-";"-";"-";"-";"-";796;11;"-";"Hero";72.46
"CRate";12;{"enchanted":false,"gvalue":0};"SPD";16;{"enchanted":false,"gvalue":0};"DEF%";10;{"enchanted":false,"gvalue":0};"RES";6;{"enchanted":false,"gvalue":0};"row_626";626;43077585431;43;0;"Eshir";"Inventory";true;83.33;"Nemesis";6;6;15;"HP%";63;"";0;1;6;"-";"-";"-";"-";10;"-";"-";"-";16;12;"Hero";83.33
"SPD";12;{"enchanted":false,"gvalue":0};"ACC";15;{"enchanted":false,"gvalue":0};"CRate";5;{"enchanted":false,"gvalue":0};"";0;{};"row_627";627;40914221713;0;0;"Inventory";"Inventory";false;69.35;"Will";1;6;9;"ATK flat";94;"";0;0;"-";"-";"-";15;"-";"-";"-";"-";"-";12;5;"Rare";76.49
"SPD";12;{"enchanted":false,"gvalue":0};"HP flat";421;{"enchanted":false,"gvalue":0};"ACC";12;{"enchanted":false,"gvalue":0};"";0;{};"row_628";628;39408714736;0;0;"Inventory";"Inventory";false;71.87;"Will";1;6;9;"ATK flat";94;"HP%";8;0;"-";"-";"-";12;"-";"-";"-";"-";421;12;"-";"Hero";79.01
"HP%";13;{"enchanted":false,"gvalue":0};"SPD";14;{"enchanted":false,"gvalue":0};"RES";6;{"enchanted":false,"gvalue":0};"";0;{};"row_629";629;39537736400;0;0;"Inventory";"Inventory";false;69.35;"Will";1;6;9;"ATK flat";94;"";0;0;6;"-";"-";"-";"-";"-";"-";13;"-";14;"-";"Hero";76.49
"CDmg";6;{"enchanted":false,"gvalue":0};"SPD";11;{"enchanted":false,"gvalue":0};"CRate";12;{"enchanted":false,"gvalue":0};"";0;{};"row_630";630;39479925353;0;0;"Inventory";"Inventory";false;69.22;"Will";1;6;9;"ATK flat";94;"";0;0;"-";6;"-";"-";"-";"-";"-";"-";"-";11;12;"Hero";76.36
"SPD";16;{"enchanted":false,"gvalue":0};"RES";7;{"enchanted":false,"gvalue":0};"";0;{};"";0;{};"row_631";631;41645271564;0;0;"Inventory";"Inventory";false;68.15;"Will";1;6;6;"ATK flat";70;"ACC";8;0;7;"-";"-";"-";"-";"-";"-";"-";"-";16;"-";"Rare";82.44
"HP%";12;{"enchanted":false,"gvalue":0};"CDmg";7;{"enchanted":false,"gvalue":0};"SPD";15;{"enchanted":false,"gvalue":0};"";0;{};"row_632";632;40397350003;126;0;"Kumar";"Inventory";false;78.57;"Will";1;6;9;"ATK flat";94;"ATK%";8;0;"-";7;"-";"-";"-";"-";"-";12;"-";15;"-";"Hero";85.71
"SPD";10;{"enchanted":false,"gvalue":0};"ACC";16;{"enchanted":false,"gvalue":0};"ATK%";5;{"enchanted":false,"gvalue":0};"";0;{};"row_633";633;39537712914;0;0;"Inventory";"Inventory";false;72.32;"Will";1;6;9;"ATK flat";94;"CRate";5;0;"-";"-";"-";16;5;"-";"-";"-";"-";10;"-";"Rare";79.46
"SPD";17;{"enchanted":false,"gvalue":0};"RES";8;{"enchanted":false,"gvalue":0};"CRate";12;{"enchanted":false,"gvalue":0};"";0;{};"row_634";634;43076081101;20;0;"Perna";"Inventory";true;77.38;"Will";1;6;9;"ATK flat";94;"";0;0;8;"-";"-";"-";"-";"-";"-";"-";"-";17;12;"Hero";84.52
"HP%";17;{"enchanted":false,"gvalue":6};"ATK%";21;{"enchanted":false,"gvalue":10};"SPD";19;{"enchanted":false,"gvalue":2};"ACC";4;{"enchanted":false,"gvalue":0};"row_635";635;38384366357;14;0;"Mo Long";"Inventory";false;99.91;"Will";1;6;12;"ATK flat";118;"CDmg";4;1;"-";"-";"-";4;21;"-";"-";17;"-";19;"-";"Legend";99.91
"ATK%";15;{"enchanted":false,"gvalue":0};"CDmg";11;{"enchanted":false,"gvalue":0};"";0;{};"";0;{};"row_636";636;43444728765;0;0;"Inventory";"Inventory";false;66.28;"Will";1;6;6;"ATK flat";70;"SPD";5;0;"-";11;"-";"-";15;"-";"-";"-";"-";"-";"-";"Rare";80.57
"SPD";8;{"enchanted":false,"gvalue":0};"ATK%";13;{"enchanted":false,"gvalue":0};"HP flat";483;{"enchanted":false,"gvalue":0};"";0;{};"row_637";637;43456297594;0;0;"Inventory";"Inventory";false;55.86;"Will";1;5;9;"ATK flat";78;"";0;0;"-";"-";"-";"-";13;"-";"-";"-";483;8;"-";"Hero";63.01
"DEF flat";19;{"enchanted":false,"gvalue":0};"ACC";27;{"enchanted":false,"gvalue":0};"CDmg";6;{"enchanted":false,"gvalue":0};"";0;{};"row_638";638;37491114430;0;0;"Inventory";"Inventory";false;70.69;"Will";2;6;9;"DEF%";38;"HP flat";142;0;"-";6;"-";27;"-";"-";19;"-";"-";"-";"-";"Hero";77.83
"ACC";15;{"enchanted":false,"gvalue":0};"CRate";4;{"enchanted":false,"gvalue":0};"DEF flat";12;{"enchanted":false,"gvalue":0};"";0;{};"row_639";639;38305139844;0;0;"Inventory";"Inventory";false;62.13;"Will";2;6;9;"SPD";25;"CDmg";6;0;"-";"-";"-";15;"-";"-";12;"-";"-";"-";4;"Rare";69.28
"CDmg";6;{"enchanted":false,"gvalue":0};"SPD";14;{"enchanted":false,"gvalue":0};"ATK flat";26;{"enchanted":false,"gvalue":0};"";0;{};"row_640";640;39312478500;0;0;"Inventory";"Inventory";false;67.61;"Will";2;6;9;"ATK%";38;"HP%";5;0;"-";6;26;"-";"-";"-";"-";"-";"-";14;"-";"Hero";74.75
"HP flat";375;{"enchanted":false,"gvalue":0};"ATK%";10;{"enchanted":false,"gvalue":0};"DEF%";13;{"enchanted":false,"gvalue":0};"HP%";13;{"enchanted":false,"gvalue":0};"row_641";641;39462419084;0;0;"Inventory";"Inventory";false;68.88;"Will";2;5;12;"SPD";29;"";0;0;"-";"-";"-";"-";10;13;"-";13;375;"-";"-";"Legend";68.88
"CDmg";19;{"enchanted":false,"gvalue":0};"ATK%";13;{"enchanted":false,"gvalue":0};"DEF flat";16;{"enchanted":false,"gvalue":0};"";0;{};"row_642";642;40065313419;0;0;"Inventory";"Inventory";false;75.52;"Will";2;6;9;"DEF%";38;"CRate";5;0;"-";19;"-";"-";13;"-";16;"-";"-";"-";"-";"Hero";82.66
"DEF%";10;{"enchanted":false,"gvalue":0};"SPD";10;{"enchanted":false,"gvalue":0};"CRate";10;{"enchanted":false,"gvalue":0};"ATK%";7;{"enchanted":false,"gvalue":0};"row_643";643;40501024914;125;0;"Rakan";"Inventory";true;67.9;"Will";2;5;12;"HP%";37;"";0;1;"-";"-";"-";"-";7;10;"-";"-";"-";10;10;"Legend";67.9
"DEF%";14;{"enchanted":false,"gvalue":0};"ACC";18;{"enchanted":false,"gvalue":0};"SPD";6;{"enchanted":false,"gvalue":0};"CDmg";9;{"enchanted":false,"gvalue":0};"row_644";644;40592088540;0;0;"Inventory";"Inventory";true;80.06;"Will";2;5;12;"HP%";37;"RES";7;0;"-";9;"-";18;"-";14;"-";"-";"-";6;"-";"Legend";80.06
"RES";15;{"enchanted":false,"gvalue":0};"DEF flat";35;{"enchanted":false,"gvalue":0};"ATK flat";20;{"enchanted":false,"gvalue":0};"";0;{};"row_645";645;40687302278;0;0;"Inventory";"Inventory";false;64.88;"Will";2;6;9;"ATK%";38;"SPD";5;0;15;"-";20;"-";"-";"-";35;"-";"-";"-";"-";"Hero";72.02
"SPD";10;{"enchanted":false,"gvalue":0};"ACC";8;{"enchanted":false,"gvalue":0};"CDmg";13;{"enchanted":false,"gvalue":0};"";0;{};"row_646";646;41490522131;0;0;"Inventory";"Inventory";false;68.03;"Will";2;6;9;"DEF%";38;"";0;0;"-";13;"-";8;"-";"-";"-";"-";"-";10;"-";"Hero";75.17
"HP%";11;{"enchanted":false,"gvalue":0};"CDmg";12;{"enchanted":false,"gvalue":0};"ATK flat";19;{"enchanted":false,"gvalue":0};"";0;{};"row_647";647;38320305060;0;0;"Inventory";"Inventory";false;68.32;"Will";2;6;9;"SPD";25;"CRate";6;0;"-";12;19;"-";"-";"-";"-";11;"-";"-";"-";"Rare";75.46
"RES";13;{"enchanted":false,"gvalue":0};"HP flat";426;{"enchanted":false,"gvalue":0};"";0;{};"";0;{};"row_648";648;41636374533;0;0;"Inventory";"Inventory";false;54.59;"Will";2;6;6;"SPD";19;"ATK flat";18;0;13;"-";"-";"-";"-";"-";"-";"-";426;"-";"-";"Rare";68.88
"SPD";9;{"enchanted":false,"gvalue":0};"ATK flat";36;{"enchanted":false,"gvalue":0};"DEF flat";50;{"enchanted":false,"gvalue":0};"HP flat";220;{"enchanted":false,"gvalue":0};"row_649";649;40687300017;0;0;"Inventory";"Inventory";false;63.88;"Will";2;6;12;"DEF%";47;"";0;0;"-";"-";36;"-";"-";"-";50;"-";220;9;"-";"Legend";63.88
"ACC";9;{"enchanted":false,"gvalue":0};"RES";15;{"enchanted":false,"gvalue":0};"ATK%";15;{"enchanted":false,"gvalue":0};"";0;{};"row_650";650;43145829863;0;0;"Inventory";"Inventory";false;76.49;"Will";2;6;9;"DEF%";38;"SPD";5;0;15;"-";"-";9;15;"-";"-";"-";"-";"-";"-";"Hero";83.63
"RES";16;{"enchanted":false,"gvalue":0};"CDmg";4;{"enchanted":false,"gvalue":0};"";0;{};"";0;{};"row_651";651;43236813923;0;0;"Inventory";"Inventory";false;54.08;"Will";2;6;6;"SPD";19;"";0;0;16;4;"-";"-";"-";"-";"-";"-";"-";"-";"-";"Rare";68.37
"ATK flat";31;{"enchanted":false,"gvalue":0};"DEF%";11;{"enchanted":false,"gvalue":0};"DEF flat";26;{"enchanted":false,"gvalue":0};"";0;{};"row_652";652;43342108726;0;0;"Inventory";"Inventory";false;62.86;"Will";2;6;9;"ATK%";38;"CDmg";7;0;"-";"-";31;"-";"-";11;26;"-";"-";"-";"-";"Hero";70
"ACC";16;{"enchanted":false,"gvalue":0};"HP%";13;{"enchanted":false,"gvalue":0};"ATK%";13;{"enchanted":false,"gvalue":0};"HP flat";363;{"enchanted":false,"gvalue":0};"row_653";653;41648744871;0;0;"Inventory";"Inventory";false;79.35;"Will";2;6;12;"SPD";31;"ATK flat";15;0;"-";"-";"-";16;13;"-";"-";13;363;"-";"-";"Legend";79.35
"ACC";23;{"enchanted":false,"gvalue":0};"HP%";12;{"enchanted":false,"gvalue":5};"DEF%";15;{"enchanted":true,"gvalue":4};"CRate";5;{"enchanted":false,"gvalue":0};"row_654";654;40828939786;0;0;"Inventory";"Inventory";false;86.31;"Will";2;6;15;"SPD";42;"";0;0;"-";"-";"-";23;"-";15;"-";12;"-";"-";5;"Hero";86.31
"CDmg";18;{"enchanted":false,"gvalue":0};"DEF%";25;{"enchanted":false,"gvalue":0};"CRate";6;{"enchanted":false,"gvalue":0};"SPD";6;{"enchanted":false,"gvalue":0};"row_655";655;38951680100;26;0;"Baleygr";"Inventory";true;90.69;"Will";2;6;12;"ATK%";47;"";0;0;"-";18;"-";"-";"-";25;"-";"-";"-";6;6;"Legend";90.69
"ACC";15;{"enchanted":false,"gvalue":0};"ATK%";17;{"enchanted":false,"gvalue":4};"CRate";9;{"enchanted":false,"gvalue":0};"DEF%";5;{"enchanted":false,"gvalue":0};"row_656";656;38241967329;0;0;"Inventory";"Inventory";false;79.46;"Will";2;6;15;"SPD";42;"";0;0;"-";"-";"-";15;17;5;"-";"-";"-";"-";9;"Hero";79.46
"HP%";12;{"enchanted":false,"gvalue":0};"RES";13;{"enchanted":false,"gvalue":0};"CDmg";5;{"enchanted":false,"gvalue":0};"HP flat";369;{"enchanted":false,"gvalue":0};"row_657";657;40042014645;0;0;"Inventory";"Inventory";false;72.9;"Will";2;6;15;"SPD";42;"DEF%";7;0;13;5;"-";"-";"-";"-";"-";12;369;"-";"-";"Rare";72.9
"CRate";4;{"enchanted":false,"gvalue":0};"DEF flat";12;{"enchanted":false,"gvalue":0};"CDmg";25;{"enchanted":false,"gvalue":0};"DEF%";5;{"enchanted":false,"gvalue":0};"row_658";658;19187471261;0;0;"Inventory";"Inventory";false;72.59;"Will";2;6;15;"SPD";42;"";0;0;"-";25;"-";"-";"-";5;12;"-";"-";"-";4;"Hero";72.59
"RES";17;{"enchanted":false,"gvalue":0};"HP flat";223;{"enchanted":false,"gvalue":0};"";0;{};"";0;{};"row_659";659;43444744383;0;0;"Inventory";"Inventory";false;50.47;"Will";2;5;6;"SPD";17;"";0;0;17;"-";"-";"-";"-";"-";"-";"-";223;"-";"-";"Rare";64.75
